drug_name,batch_number,manufacturer,reason_for_recall
Metronidazole and Povidone Iodine Ointment,XOJM25015,"Helios Pharmaceuticals (Div. of P.K.T.P. Pvt Ltd.,) Village Malpur PO Bhud, Baddi, Tehsil Nalagarh Dist. Solan (HP)-173205.",The sample does not conform to Label claim with respect to the content of Availabe Iodine in Povidone Iodine(79.59%)
Levocetirizine & Montelukast Sodium Dispersible tablets,ABC04ABA,"Pure & Cure Healthcare Pvt. Ltd.,(A Subsidiary of Akums Drugs & Pharmaceuticals Ltd.) Plot No.26A, 27-30, Sector-8A, I.I.E., SIDCUL, Ranipur, Haridwar-249403, Uttarakhand.",The sample does not conform to Label claim with respect to content of Montelukast in Montelukast sodium)
Tolperisone & Paracetamol Tablets,TB26.084,"Verax Life Sciences Pvt. Ltd., K.No. 435, Vil. Surajmajra, Baddi, Distt. Solan (HP)-173205",The sample does not conform to label claim with respect to content of Tolperisone Hydrochloride
Diclofenac Sodium Tablets IP 50mg,SP250935,"Sharun Pharmaceuticals Pvt.Ltd., R.S.No. 195/9 & 197/4, Pangoor, Ariyur Revenue Village, Villianur Puducherry-605 102.",Dissolution
Diclofenac Sodium Tablets IP 50mg,SP250934,"Sharun Pharmaceuticals Pvt.Ltd., R.S.No. 195/9 & 197/4, Pangoor, Ariyur Revenue Village, Villianur Puducherry-605 102 India",Dissolution
"Diclofenac Diethylamine, Virgin Linseed oil, Menthol & Methyl Salicylate Gel",JDB766,"Curetech Slincare, Plot No. 32,33& 34, Phase - IV, Bhatoli Kalan, Baddi, Distt. Solan (H.P.)-173205.","The sample does not conform to label claim with respect to the content of Diclofenac Diethylamine,and Methyl Salicylate"
Atorvastatin Tablets IP 10mg,AV26072,"Eurokem Laboratories Pvt Ltd, C-25, SIDCO Pharmceutical Complex, Alathur, Thiruporur -603110.",Dissolution
Carvedilol Tablets IP 6.25mg,P1225138TA,"Pharma Roots Healthcare, Khasra No, 411, Village Tipra, P.O, Barotiwala, Tehsil Baddi, Distt. Solan (HP), 174103",Dissolution
Betamethasone valerate & Salicylic Acid Ointment,BE533,"Bestcare Formulation Pvt, Ltd., Plot No. B-15 & 16, Pipdic Electronic Park, Thirubhuvanai, Puducherry-605 107",Content (Nil)
Midazolam injection I.P-1mg-5ml,MZ-2606,"Vindas Chemical Industries (P) Ltd. Plot No.65, Sector-1, Indl Area, Pitampur - 454775. Dist. Dhar",pH (4.1) and Assay (87.2%)
"Ambroxol Hydrochloride, Terbutaline Sulphate, Guiaphenesin & Menthol Syrup",FMX-030/26,"Finemax Formulation Private Ltd., No. 1/4, first floor, Thirumuruga complex, Leelavathi nagar, Chikarayapuram, Chennai 600069. India, Tamilnadu.",The sample does not conform to label claim with respect to the content of Ambroxol Hydrochloride and Terbutaline Sulphate.
Pantoprazole Gastro-Resistant Tablets IP,R2516403J,"Reltsen Healthcare Spl Plot No. 9-11, Pipdic electronic park, Thirubhuvanai, Puducherry-605 107 Puducherry. Mrkt: Maclife Labs india Pvt.Ltd, Plot No.19, Baghameeri, Kukatpally, Hyderabd - 500 072.","Sample Does not meets the Specifications wrt, Dissolution (All 6 Tablets dissolved in acid stage) as per IP"
Metronidazole Tablets IP 200 mg,MZ241001,"Cipco Pharmaceuticals 35-36/1, AB Road, Pigdamber Dist. Indore - 453 331 (MP) India, Madhya Pradesh.","The Dissolution test Does Not Complies as per IP Specification, hence it is of Not of Standard Quality."
Rabeprazole Sodium Gastro-Resistant Tablets I.P.,BLT-25798A,"Brit Lifescience V.P.O. Moginand, Nahan Road, Distt. Sirmour (H.P). 173030. Himachal Pradesh.",MISBRANDED In the composition the label should be mentioned as Rabeprazoe sodium IP. But the label is mentioned as Rabeprazole Sodium equivalent to Rabeprazole. Hence it is misbranded drug as per section 17 of Drugs and Cosmetics Act 1940.
Pantoprazole and Domperidone Tablets,AN-06-25,"Anchor Pharma Pvt. Ltd., Plot No. B-6, O.I.D.C Ringanwada, Daman-396210",TEST FOR DISINTEGRATION TIME
Glimepiride Tablets IP 1mg,GTA-2501,"Apple Formulations Pvt. Ltd., Plot No. 208, Kishanpur, Roorkee-247667 (U.K.).",The sample does not conform to standard quality in respect of the test for ?Description? performed.
"Betamethasone, Clindamycin & Nicotinamide Cream",1391,"Lucrose Pharma Pvt. Ltd. Flat No. 197, First Floor Block A, Sector MU-II, Greater Noida-201309",Content of Betamethasone & Clindamycin
Rabeprazole Sodium (EC) & Domperidone (SR) Capsules,CG24-0548M,"Humankind Pharmaceuticals Lunia Mohalla, Dehradun-248001",Content of Rabeprazole Sodium
"Cefixime, Azithromycin and Lactic Acid Bacillus Tablets",TB25115,"Forgo Pharmaceuticals (P) Ltd. Plot No. 92 Industrial Area, Phase-I, Panchkula (Haryana)",Content of anhydrous Azithromycin
"Aceclofenac, Paracetamol & Serratiopeptidase Tablets",TG25-1919B,"Menrik Biomerge Pvt. Ltd. 5, Manak Vihar, Opp. Yojna Vihar, New Delhi-110092",Content of Aceclofenac
Amoxycillin and Potassium Clavulanate Tablets IP (500 mg+125mg,CVTC-815,"Nestor Pharmaceuticals Ltd. 11, Western Extension Area, Faridabad-121001, India.",Content of Clavulanic Acid
Diclofenac Sodium Injection I.P.,ZYCD15018,"Laborate Pharmaceuticals India Ltd. 111, Yamuna Nagar Road, Satiwala Paonta Sahib, Distt. Sirmour-173025 (HP)",Content of Diclofenac Sodium
Dr. Wash Intimate Hygiene,IW-0225,Magic of Herbs Magic of Herbs Haryana-133001,Idetity test Negative for Lactic Acid
Bithoquin Bolus,V260301,"Apple Biotech Healthcare Pvt. Ltd. Vill. Deep Nagar, Tehsil Payal, Ludhiana-141421 (PB) India",Disintegration Test
Diclofenac Sodium Gastro -Resistant Tablets IP,T-25056,"Geson Pharma Pvt. Ltd Industrial Area, Sarojini Nagar, Lucknow",Disintegration Test
Cinnarizine Tablets IP,MV115027,"Geno Pharmaceuticals Pvt. Ltd, Karaswada, Mapusa, Goa 403528 At C/12-13, M.I.D.C. Bhosari Pune",Identification - Doesn't conforms to I.P.
"Aceclofenac 100 mg, Serratiopeptidase 15 mg & Paracetamol 325 mg Tablets",FND0825055AK,"Ipca Laboratories Ltd. Unit-II, 393/ Melli Horethang Road, Gom Block, Bharikhola, South District, Sikkim 737121",Identity test negative for Aceclofenac and Paracetamol
Alprazolam Tablets IP 0.50 mg,AT25417,"Aarpik Pharmaceuticals Pvt. Ltd. C1/306/5, Kerala, G.I.D.C. Kerala Bavla Road, Distt.-Ahmedabad",Identification - Doesn't conforms to I.P.
Amoxycillin & Potassium Clavulanate Tablets IP,826D074,"Medreich Ltd., Survey No. 14 &v 15, Gundarahalli Village, Sulibele Hobli, Hoskote Taluk Bengaluru Rural District-562114",Identification - Doesn't conforms to I.P.
Pantoprazole Gastro-resistant Tablets IP 40 mg,SPK251470,"Aristo Pharmaceuticals Pvt. Ltd. Plot Nos.: 2040-46, N.H. 10 Baghey Khola, P.O. Majhitar, East Sikkim-737136",Identification - Doesn't conforms to I.P.
Metronidazole Tablets IP 200 mg,ME025002,"Danish Healthcare (P) Ltd. 76/27-29, Industrial Estate Maxi Road, Ujjain 456010, India",Uniformity of Weight
Calcium and Vitamin D3 Tablets IP 500mg/250 IU,PJCT-021,"Laborate Pharmaceuticals India Ltd . # 31, Rajban Road, Nariwala, Paonta Sahib (H.P.)",Identification of Vitamin D3 - Doesn't conforms to I.P.
Amoxicillin and Potassium Clavulanate Tablets IP,26440256,"Alkem Health Sciences A Unit of Alkem Laboratories Ltd. Unit-2, Samardung, Kaerk Block, P.O. Namthang, District-Namchi, Sikkim-737137",Identification - Doesn't conforms to I.P.
"Triprolidine Hydrochloride & Codeine Phosphate Syrup, 100 ml",L-221226,"BDC Pharmaceuticals 272, Ind. Area, Phase-II, Kalamb HP-236250",Content of Triprolidine Hydrochloride & Codeine Phosphate
"Aceclofenac, Paracetamol and Serratiopeptidase Tablets",F9AHY065,"Pharma Force Lab 53-55, Ind. Area, Gondpur, Paonta Sahib (HP)-173025",Identity test negative for Aceclofenac and Content of Paracetamol
Ibuprofen Tablets IP 200 mg,INR25036,"Danish Healthcare (P) Ltd. 76/27-29, Industrial Estate Maxi Road, Ujjain 456010, India",Dissolution
Albendazole Tablets IP 400 mg,SAO-210,"Sikkim, Khasra No. 35,36,409,410 Vill. Julanglay, Block-L, Maneydara, Namthang, Distt. Namchi, South Sikkim.",Dissolution
Levofloxacin Tablets IP 500 mg,JC00116,"Lupin Ltd. EPIP, Sidco Industrial Complex Kartholi, Bari Brahmana, Jammu J& K-181133 India",Identification - Doesn't conforms to I.P.
Ondansetron Orally Disintegration Tablets IP,ST-34645,"Samay Pharma India Pvt. Ltd Plot No.- 34-35, Industrial Area, Trilokpur Road, Kala Amb, District Sirmour, Himanchal Pradesh-173030",Disintegration Test
Omeprazole & Domperidone Capsules,AC25/211,"Accuwell Medics Private Ltd. Suvery No.-414, Ashwamegh Ind. Estate, Changodar, Ahmedabad-382213 (Guj) India",Content of Omeprazole & Domperidone
Triamcinolone Acetonide Injection IP (40mg/ml) (1ml),NPK0260,"Nitin Life Sciences Ltd. Rampur Road, Paonta Sahib, Distt. Sirmour-173025 (H.P.) India",Assay
"Itraconazole, Capsules IP",CG25-0392A,"Athens Life Sciences Mauza-Rampur Jatten Nahan Road, Kala Amb, Dist-Sirmour (HP) 173030",Assay
Amoxycillin Dispersible Tablets IP,UOT25-522,"Unisharp Organics Pvt. Ltd. Alamgir, Lalru-140501",Assay
Cefixime Tablets IP,25460922,"Alkem Health Sciences A Unit of Alkem Laboratories Ltd. Unit-3, Samardung, Kaerk Block, P.O. Namthang, District-Namchi, Sikkim-737137",Identification - Doesn't conforms to I.P.
Pantoprazole Gastro-resistant Tablets IP 40 mg,25444650,"Alkem Health Science, A unit of Alkem Laboratories Ltd., Unit-2, Samardung Karek Block, P.O. Namthang, District-Namchi, Sikkim-737137",Identification - Doesn't conforms to I.P.
Amoxycillin & Potassium Clavulanate Tablets IP,MFL0122,"Medicef Pharma, Plot No.-28, 29 & 48, Phase-I, EPIP, Jharmajri, Baddi, Distt. Solan-173205 (H.P.), India",Identification - Doesn't conforms to I.P.
Diclofenac Sodium and Paracetamol Tablets IP,I501103,"Zydus Healthcare Ltd., (Unit II), 967 (P), 968 (P), 970 (P), Duga Circle, Kamarey Bhasmay, Kumek, Sikkim-737132",Description & Dissolution
Diclofenac Gastro-Resistant Tablets IP,250264A,"Bal Pharma Limited ,Plot No. 1,2,3 And 69, Sector-4, IIE, SIDCUL Pantnagar, Rudrapur, Distt. - Udham Singh Nagar, Uttarakhand, INDIA",The sample does not conform to I.P 2022 with respect to test for Related substances
Cefpodoxime Proxetil & Clavulanic Acid Tablets,BT-0564,"Addll Biotech Pvt. Ltd. Vill. Kaundi, P.O. Thana, Tehsil Baddi, Distt. Solan-173205 (H.P.)",Identity test negative for Cefpodoxime Proxetil & Clavulanic Acid
Diclofenac Sodium & Paracetamol Tablets,AHT-2502262,"Aru Health Care Pvt. Ltd. - K-12, Industrial Area, Begrajpur, Muzaffarnagar-251003 (UP)",Disintegration Test
Cefixime & Azithromycin Tablets,MWDC-5421G,"Geenac Pharma, - Plot No.-582, Raipur, Bhagwanpur, Roorkee, Uttarakhand-247667",Identity test negative for Cefixime & Azithromycin
"Cefixime, Ofloxacine & Lactic Acid Bacillus Tablets",ST-25190,"Candimed Life Sciences, - 77/1, Industrial Area, Dehradun, Uttarakhand",Identity test negative for Cefixime & Ofloxacin
"Amoxycillin & Potassium Clavulanate, Lactic Acid Bacillus Tablets",MWDC-5421G,"Sabi Pharmaceuticals Pvt. Ltd - . Shivnath Gogoi Path, 10/150, Bhagarbari, Panjahari, Gowahati-781037, Assam",Identity test negative for Amoxycillin & Clavulanic Acid
"Ferrous Ascorbate, Folic Acid and Cyanocobalamin Suspension",18260226A,"Macleods Pharmaceuticals Ltd. - Khasra No. 21,22,66,67 & 68, Aho- Yangtam, Namchepung, PO: Ranipool, Sikkim - 737135",Identity test negative for Folic Acid & content of Elemental Iron
Glimepiride Tablets IP,5GAC030,"Sanofi India Ltd., - L-121, Verna Industrial Estate, Verna, Goa-403722",Dissolution
Amoxycillin and Potassium Clavulanate Tablets IP,CBZ19ADA,"Malik Lifesciences Pvt. Ltd. - (A Subsidiary of Akumes Drugs & Pharmaceuticals Ltd.) Plot NO. 16, Vardhman Indl. Estate, Vill. Bahadarpur Saini, N.H. 58, Haridwar-247667 (Uttarakhand)",Dissolution of Amoxycillin
Cefpodoxime Proxetil Oral Suspension IP,LBL2501002,"Life Gem Medi Healthcare (India) I.P. - 46 Raipur Sahkari Audhyogic Kshetra, Raipur, Bhagwanpur, Roorkee, Haridwar (U.K.) Pin Code-247661",Assay
"Amoxycillin, Potassium Clavulanate & Lactic Acid Bacillus Tablets",BR-1227,"Velnex Medicare India Pvt. Ltd., - Plot No. 278, HSIDC Saha (133104) HR",Identification - Doesn't conforms to I.P.
Ondansetron Tablets IP 4 mg,TG252335,"Symbiosis Pharmaceuticals Pvt. Ltd. - (Plant-I) Symbiosis House, Suketi Road, Kala Amb-173030 (H.P.)",Assay & Dissolution
"Cefixime, Azithromycin & Lactic Acid Bacillus Tablets",ST-25193,"Candimed Life Sciences, - 77/7, Industrial Area, Dehradun, Uttarakhand-248110",Identity test negative for Cefixime & Azithromycin
Aceclofenac & Paracetamol Tablets IP,T-2504296,"Gopal Lifesciences, - (Unit-II), Hill Top, Ind. Estate, Near Export Zone, Jharmajri, Baddi-173205",Dissolution
Cefpodoxime Proxetil IP 200 mg Tablets,SRTC-2403,"Velnex Medicare India Pvt. Ltd., - Plot No. 278, HSIDC Saha (133104) HR",Identification - Doesn't conforms to I.P.
Cefpodoxime & Ofloxacin Tablets,C9AKX031,"Relax Pharmaceuticals Pvt. Ltd. - (Unit-II) 49-A-B, Gondpur, Industrial Area, Paonta Sahib, Distt. Sirmour (H.P.)-173025",Identity test negative for Cefpodoxime Proxetil & Ofloxacin
Amoxycillin & Potassium Clavulanate Tablets IP,TB250343C,"Polestar Power Industries - (PHARMA DIVISION) Vill. Damuwala, Hajuri Road, Barotiwala, Baddi, Distt. Solan (H.P.)-174103",Identification - Doesn't conforms to I.P.
"Cefixime, Azithromycin & Lactic Acid Bacillus Tablets",PL-26089,"Velnex Medicare India Pvt. Ltd., - Plot No. 278, HSIDC Saha (133104) HR",Identity test negative for Cefixime & Azithromycin
"Dextromethorphan HBr, Phenylephrine HCl & Chlorpheniramine Maleate Syrup).",ABSL25-0183A,"Alexin Biosciences, Barotiwala, Plot No. 151/196, Paonta Sahib, Dist. Sirmour-173025",MISBRANDED DRUGS.
Orlistat Capsules USP 120 mg,TPC25015,"Taj Pharma India Ltd., Plot No. 1019, Sarigar, GIDC Road No. 10, Distt.-Valsad, Gujarat-396155.",01.IDENTIFICATION TEST OF ORLISTAT U.S.P. ? Found to be negative. 02. ASSAY OF ORLISTAT U.S.P.: NIL.
Obelow-60 (Orlistat Capsules USP 60 mg,TPC26003,"Taj Pharma India Ltd., Plot No. 1019, Sarigar, GIDC Road No. 10, Distt.-Valsad, Gujarat-396155.",01. IDENTIFICATION TEST OF ORLISTAT U.S.P. ? Found to be negative. 02. ASSAY OF ORLISTAT U.S.P.: NIL.
Pantoprazole Gastro- Resistant & Domperidone Prologed Release Capsules I.P.,CG26-0049R,"Athens Life Sciences Mauza Rampur Jattan, Nahan Road, Kala-Amb, Distt. Sirmour H.P. ? 173030",01. ASSAY OF PANTOPRAZOLE SODIUM I.P. & DOMPERIDONE I.P. ? Less than prescribed limit.
Amoxycillin & Potassium Clavulanate Tablets I.P.,HPT25002,"Hariom Pharmaceuticals,Plot No. 20, Ext. HPSIDC, Ind Area, Baddi, Distt. Solan (H.P.) 173205",The sample does not conform to claim as per I.P. 2022 with respect to the test for Assay and Dissolution of Amoxycillin and Clavulanic Acid.
Handloom Rolled Bandages,24,"Kota Saree Avam Hath kargha Vastra Utpadak Kray-Vikray Sahakari Samiti Ltd.,Kota (Raj.)",The sample does not conform to claim as per Schedule F-(II) with respect to test for Fluorescence
